,title,marque,image_principale,sku,description,prix,category,images,uniq_id,expiration
0,Goya Chorizos - 3.5oz,GOYA,https://target.scene7.com/is/image/Target/GUEST_e5baf9e7-4476-402a-9c59-304dfa87c676,47112125,"Goya Chorizo, 3.5 Ounce | GOYA Chorizo is a delicious spanish dry hot sausage with a great texture and spiced with traditional seasonings. Perfect for everyday cooking in omlettes, as party snacks, or simply on it's own, Goya Chorizo is a delicious pantry staple that is sure to be a family favorite. Naturally smoked, and meaty and tasty on its own, Goya Chorizo also adds loads of flavor to rice dishes and stews—and of course, it makes fantastic tapas dishes! If it's Goya ... it has to be good!",3.29,Pantry,"['https://target.scene7.com/is/image/Target/GUEST_e5baf9e7-4476-402a-9c59-304dfa87c676 ', ' https://target.scene7.com/is/image/Target/GUEST_fbbfea04-637e-4b16-a8b0-47c62aeb834d ', ' https://target.scene7.com/is/image/Target/GUEST_d56f3321-c120-4b3e-85ee-13ee4c8d0141']",57da2e50-60fd-5831-b9dd-eac14ae3cfcc,2022-06-12
1,Tyson Grilled & Ready Oven Roasted Diced Chicken Breast - Frozen - 22oz,Tyson,https://target.scene7.com/is/image/Target/GUEST_89fac4a8-d4c6-400a-9ba1-571bfbbfb9a1,14778739,"Made with chicken raised with no antibiotics ever and no added hormones or steroids, Tyson Grilled and Ready Fully Cooked Diced Oven Roasted Chicken Breast is a delicious addition to any meal. These oven roasted frozen chicken breasts are seasoned, diced and oven roasted to perfection. Simply toss this seasoned chicken with fresh vegetables, pasta and a splash of olive oil for a delicious weeknight dinner. With high quality farm raised chicken with no antibiotics ever, we keep it real in everything we do. Keep it real. Keep it Tyson. *Minimally processed, no artificial ingredients.
",10.39,Meat & Seafood,"['https://target.scene7.com/is/image/Target/GUEST_89fac4a8-d4c6-400a-9ba1-571bfbbfb9a1 ', ' https://target.scene7.com/is/image/Target/GUEST_41fad055-cf89-418c-9a14-a597f347488e ', ' https://target.scene7.com/is/image/Target/GUEST_d55e328f-92d4-4c90-8d46-aa493fa7b3f2 ', ' https://target.scene7.com/is/image/Target/GUEST_d67bf7a2-6417-41a0-9f60-4d25779462f0 ', ' https://target.scene7.com/is/image/Target/GUEST_38980bc6-2023-4eec-be00-b5d6e7e7cafe']",ca4c17da-bbd4-53bd-a596-78c42096b2df,2022-06-12
2,The Drunken Goat Semi Soft Goat Cheese Bathed in Red Wine - 6oz,Drunken Goat,https://target.scene7.com/is/image/Target/GUEST_f2eb83be-c3f0-4fa0-92aa-14e2ce69bf7b,14929058,"Literally meaning ''goat with wine'' this semi-firm pasteurized goat from Spain's Mediterranean coast is cured for 48-72 hours in Doble Pasta red wine. The paste remains nearly pure white and the rind absorbs a lovely violet hue. The paste is sweet and smooth, delicately grapey, with a gentle, pliable texture and mild fruity flavor. ",9.39,Deli,"['https://target.scene7.com/is/image/Target/GUEST_f2eb83be-c3f0-4fa0-92aa-14e2ce69bf7b ', ' https://target.scene7.com/is/image/Target/GUEST_a683b4ac-855e-4c7c-a8db-16ecd382d560 ', ' https://target.scene7.com/is/image/Target/GUEST_fd7c3886-fdf6-42b3-978c-23039ef7fa2d']",dc088ee6-4467-55ab-904b-c851ed1f85b2,2022-06-12
3,Bud Light Beer - 18pk/12 fl oz Bottles,Bud Light,https://target.scene7.com/is/image/Target/GUEST_03c3d05f-413a-4e8d-bf1f-d08dd034dd31,13392479,"Bud Light is brewed using barley malts, rice and a blend of premium aroma hop varieties and has a fresh, clean taste. This lager delivers a crisp finish. Bud Light is made with no preservatives or artificial flavors and has a 4.2% ABV. 18 pack of bottles.",17.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_03c3d05f-413a-4e8d-bf1f-d08dd034dd31 ', ' https://target.scene7.com/is/image/Target/GUEST_a16cd46f-1582-4329-a8ab-83472f7f7030 ', ' https://target.scene7.com/is/image/Target/GUEST_cbea7d44-c36d-4eff-a968-32747dd37291 ', ' https://target.scene7.com/is/image/Target/GUEST_4a2ae2c0-4c3a-4672-b7d5-493da952f15f ', ' https://target.scene7.com/is/image/Target/GUEST_bce8e3d7-eebf-47c1-af59-2cc04257bf37']",e7e5d6e1-9850-513c-9b8d-a94424feab7e,2022-06-12
4,J. Lohr Estates Flume Crossing Sauvignon Blanc - 750ml Bottle,J. Lohr,https://target.scene7.com/is/image/Target/GUEST_7297f261-dae3-43f6-9cb2-39018f7ae4c8,81785851,"The grapes for the Flume Crossing Sauvignon Blanc are grown in the well-drained, sandy, cobblestone soils deposited by the Arroyo Seco River. These rugged soils keep yields in check and produce fruit with varietal intensity, minerality and exceptional weight. The long cool growing season of the Arroyo Seco appellation ensures that the fleeting, exotic fruit flavors of Sauvignon Blanc are retained along with a vibrant natural acidity. The Flume Crossing Sauvignon Blanc is created to be an expression of pure varietal character, influenced only by its terroir, gently guided by minimal farming and winemaking practices. Pale yellow in color and displays aromas of honeysuckle, sweet herbs, lime, and fig. These aromas are complemented on the palate by the bright flavors of grapefruit, kiwi, passionfruit, and lemongrass, with the rich texture and long finish provided by the acacia barrels. This wine has earned the Certified California Sustainable seal.",12.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_7297f261-dae3-43f6-9cb2-39018f7ae4c8 ', ' https://target.scene7.com/is/image/Target/GUEST_2c94bbba-816b-4bed-867d-d21aa6b3721f ', ' https://target.scene7.com/is/image/Target/GUEST_de375bac-e84d-4c0b-8d6a-8284ab7992a2 ', ' https://target.scene7.com/is/image/Target/GUEST_65241b5a-d917-4ca7-90fc-fe06000562ac ', ' https://target.scene7.com/is/image/Target/GUEST_de375bac-e84d-4c0b-8d6a-8284ab7992a2']",a0de6f77-38c4-5691-8739-eb69951369df,2022-06-12
5,Busch Non-Alcoholic Beer - 12pk/12 fl oz Cans,Busch,https://target.scene7.com/is/image/Target/GUEST_2f13521b-4525-4ec8-aefe-33907df0f75e,47136114,"Busch Non Alcoholic Beer lets you enjoy traditional rich Busch flavor without the alcohol. This beer features a smooth, full bodied, malty flavor. It is fully brewed with a blend of American hops, fine barley malt, cereal grains, and pure water. 12 pack.",9.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_2f13521b-4525-4ec8-aefe-33907df0f75e ', ' https://target.scene7.com/is/image/Target/GUEST_91b74149-884e-4666-a81e-753d557f91f0 ', ' https://target.scene7.com/is/image/Target/GUEST_5072c2e9-0318-4eec-8823-cf9fc13f292a ', ' https://target.scene7.com/is/image/Target/GUEST_b27c7e2c-7d3f-4445-8407-02360b6fe94b ', ' https://target.scene7.com/is/image/Target/GUEST_e8d63e21-128f-47df-b820-79752ca664ec']",9bac3aba-e6f5-5878-a3e2-8e02a7fca270,2022-06-12
6,Natural Light Beer - 12pk/12 fl oz Cans,Natural Light,https://target.scene7.com/is/image/Target/GUEST_b66f1c18-9b1e-477b-9436-4b2233e4b410,13392449,"Natural Light delivers a satisfyingly refreshing beer for a satisfying value. It is a well blended and balanced American-style light lager. A longer brewing process produces a lighter body, fewer calories, and an easy-drinking character. 15 pack.",9.99,"Wine, Beer & Liquor","['https://target.scene7.com/is/image/Target/GUEST_b66f1c18-9b1e-477b-9436-4b2233e4b410 ', ' https://target.scene7.com/is/image/Target/GUEST_48677602-b920-45a9-860f-01c026eb4a1b ', ' https://target.scene7.com/is/image/Target/GUEST_85138839-7e68-4174-b830-6a3b0799c031']",6ceda153-3f88-5435-a8af-535d8a6b9d21,2022-06-12
7,Country Crock Calcium Vegetable Oil Spread Tub - 15oz,Country Crock,https://target.scene7.com/is/image/Target/GUEST_200ad2d7-68e1-4562-bece-bc219e359e89,13376150,"Bring authentic, country-fresh flavor to the table with Country Crock® Calcium Buttery Spread Tub - 15 oz. This buttery spread gives you the rich, creamy, and delicious flavor you love, along with 8% daily value of calcium per 1 tbsp serving. Slow-churned in Kansas and carefully crafted with farm-grown ingredients, you can always count on Country Crock to be free of any artificial flavors and preservatives. There's a reason Country Crock has been a trusted favorite at the center of family tables for generations! 

Ready to use right out of the fridge, Country Crock Calcium Buttery Spread can be spread on top of your favorite breads and pastries for a deliciously decadent buttery treat. Use it as a secret ingredient to add depth of flavor and richness to your cooking and baking favorites from appetizers to main dishes, desserts, and more. Country Crock Calcium is free of gluten, hydrogenated oils, dairy, and lactose, has 0g cholesterol and trans fat per 1 tbsp serving, and has 75% less saturated fat than a 1 tbsp serving of traditional dairy butter. 

Brought to you by Country Crock, a brand committed to welcoming everyone to the table. We treat everyone like family and every place like home. Our products are sustainably farmed and responsibly sourced. When you can spread, top, cook and bake just about anything with this buttery spread, the options are endless with Country Crock!",3.19,Dairy,"['https://target.scene7.com/is/image/Target/GUEST_200ad2d7-68e1-4562-bece-bc219e359e89 ', ' https://target.scene7.com/is/image/Target/GUEST_751cc1ca-e9c3-4f09-b990-f13591195e88 ', ' https://target.scene7.com/is/image/Target/GUEST_43adb582-94c9-4b6a-8338-5371fb4ec17e ', ' https://target.scene7.com/is/image/Target/GUEST_73aab09c-4c67-4bcc-a540-f74c7aec1fd8 ', ' https://target.scene7.com/is/image/Target/GUEST_0a8d9901-8fb9-4cde-b960-48f18abf096f ', ' https://target.scene7.com/is/image/Target/GUEST_43adb582-94c9-4b6a-8338-5371fb4ec17e']",613fc5f3-a377-57f9-997c-1f4e64e9a89a,2022-06-12
8,MadeGood Organic Gluten Free Chocolate Chip Cookies Soft Baked - 12ct Traypack,MadeGood,https://target.scene7.com/is/image/Target/GUEST_b55f5cd7-df55-426e-89c3-00b869a1880c,85871556,"When we set out to bake cookies we wanted them to be like homemade: soft, moist and tender. MadeGood® Soft Baked Cookies are everything you crave. They are just the right size, low in sugar, gluten-free, packed with a serving of vegetables, high in vitamin A, C, D, E and B6 so you can always treat yourself! With flavors that wow, these are cookies made with love! <br />",7.99,Snacks,"['https://target.scene7.com/is/image/Target/GUEST_b55f5cd7-df55-426e-89c3-00b869a1880c ', ' https://target.scene7.com/is/image/Target/GUEST_a21f3e08-97ad-4be1-a830-fbe32299c9cc ', ' https://target.scene7.com/is/image/Target/GUEST_9539c328-f489-42be-b94a-c31f13bde4fe']",aa2eea63-378a-5574-9899-8940f69ca520,2022-06-12
11,Lion Coffee Lion Gold Medium Roast Ground Coffee - 10oz,LION Coffee,https://target.scene7.com/is/image/Target/GUEST_41282053-add3-4bc7-a40c-46670c171932,47101064,"LION Gold Coffee is a classic medium-light roast coffee that makes a great breakfast coffee. This means that there is some real caffeine kick in this bag to get your day started! This LION Coffee brew is bright in the cup with a mellow taste and sweet, delicate, and slightly citrus finish.",7.39,Beverages,"['https://target.scene7.com/is/image/Target/GUEST_41282053-add3-4bc7-a40c-46670c171932 ', ' https://target.scene7.com/is/image/Target/GUEST_ac2e0661-0842-4f4f-b8d4-cfb922ba05ed ', ' https://target.scene7.com/is/image/Target/GUEST_d4891a77-535e-4143-9284-e80d4b22d1f7']",9af41a12-cd87-5f2f-b175-ff11d51b5f89,2022-06-12
